"year","indepyear","cowgroupid","isrelevant","isrelevant_firstyear","isincluded_firstyear","status_egip","onset_ko_flag","firstconf","britishcol_flag","frenchcol_flag"
1989,1965,42006000,1,1,1,1,0,0,1,0
1990,1965,42006000,1,1,1,1,0,0,1,0
1991,1965,42006000,1,1,1,1,0,0,1,0
1992,1965,42006000,1,1,1,1,0,0,1,0
1993,1965,42006000,1,1,1,1,0,0,1,0
1994,1965,42006000,0,1,1,0,0,0,1,0
1995,1965,42006000,0,1,1,0,0,0,1,0
1996,1965,42006000,0,1,1,0,0,0,1,0
1997,1965,42006000,0,1,1,0,0,0,1,0
1998,1965,42006000,0,1,1,0,0,0,1,0
1999,1965,42006000,0,1,1,0,0,0,1,0
2000,1965,42006000,0,1,1,0,0,0,1,0
2001,1965,42006000,0,1,1,0,0,0,1,0
2002,1965,42006000,0,1,1,0,0,0,1,0
2003,1965,42006000,0,1,1,0,0,0,1,0
2004,1965,42006000,0,1,1,0,0,0,1,0
2005,1965,42006000,0,1,1,0,0,0,1,0
2006,1965,42006000,0,1,1,0,0,0,1,0
2007,1965,42006000,0,1,1,0,0,0,1,0
2008,1965,42006000,0,1,1,0,0,0,1,0
2009,1965,42006000,0,1,1,0,0,0,1,0
1960,1960,43201000,1,1,1,1,0,0,0,1
1961,1960,43201000,1,1,1,1,0,0,0,1
1962,1960,43201000,1,1,1,1,0,0,0,1
1963,1960,43201000,1,1,1,1,0,0,0,1
1964,1960,43201000,1,1,1,1,0,0,0,1
1965,1960,43201000,1,1,1,1,0,0,0,1
1966,1960,43201000,1,1,1,1,0,0,0,1
1967,1960,43201000,1,1,1,1,0,0,0,1
1968,1960,43201000,1,1,1,1,0,0,0,1
1969,1960,43201000,1,1,1,1,0,0,0,1
1970,1960,43201000,1,1,1,1,0,0,0,1
1971,1960,43201000,1,1,1,1,0,0,0,1
1972,1960,43201000,1,1,1,1,0,0,0,1
1973,1960,43201000,1,1,1,1,0,0,0,1
1974,1960,43201000,1,1,1,1,0,0,0,1
1975,1960,43201000,1,1,1,1,0,0,0,1
1976,1960,43201000,1,1,1,1,0,0,0,1
1977,1960,43201000,1,1,1,1,0,0,0,1
1978,1960,43201000,1,1,1,1,0,0,0,1
1979,1960,43201000,1,1,1,1,0,0,0,1
1980,1960,43201000,1,1,1,1,0,0,0,1
